feature,importance
SysTerminal_rolling_week_std,138
MOM_Direction_rolling_quarter_median_season_ratio_rolling_year,138
Direction_trend_182D_vs_365D_mean,138
Direction_rolling_semester_std,137
Direction_rolling_month_std,137
airlineOACICode_lag_1week_mean,137
FlightNumberNormalized_trend_182D_vs_365D_median,137
INT_NbOfSeats_x_MOM_SysTerminal_lag91_win20_mean_year_over_year_lag365_win28,136
MOM_airlineOACICode_rolling_quarter_mean_season_ratio_rolling_year,136
INT_NbOfSeats_x_SysTerminal_trend_30D_vs_91D_mean,136
SysTerminal_rolling_week_max,135
FlightNumberNormalized_rolling_semester_max,135
Direction_rolling_quarter_std,135
INT_NbOfSeats_x_SysTerminal_trend_91D_vs_182D_mean,135
SysTerminal_trend_7D_vs_14D_std,135
IdAircraftType_trend_182D_vs_365D_median,132
SysTerminal_lag7_win6_std,132
SysTerminal_trend_30D_vs_91D_std,132
Direction_trend_30D_vs_91D_max,132
INT_NbOfSeats_x_IdAircraftType_rolling_month_mean,131
INT_NbOfSeats_x_airlineOACICode_trend_14D_vs_30D_mean,131
INT_NbOfSeats_x_SysTerminal_lag7_win6_mean,131
FlightNumberNormalized_lag_1day_max,131
SysTerminal_lag_1day_min,131
MOM_airlineOACICode_rolling_quarter_median_season_ratio_rolling_year,130
INT_NbOfSeats_x_SysTerminal_lag_6months_mean,130
MOM_SysTerminal_rolling_week_mean_accel_rolling_month,130
airlineOACICode_lag7_win6_median,130
INT_NbOfSeats_x_airlineOACICode_trend_30D_vs_91D_mean,130
INT_NbOfSeats_x_IdAircraftType_lag_1week_mean,129
Direction_rolling_semester_mean,128
IdAircraftType_lag7_win6_median,128
SysTerminal_lag182_win20_mean,128
airlineOACICode_rolling_quarter_mean,128
INT_NbOfSeats_x_IdAircraftType_rolling_year_mean,128
airlineOACICode_lag_1day_max,127
IdAircraftType_lag_1day_max,126
Direction_lag182_win20_mean,124
MOM_Direction_rolling_week_max_accel_rolling_month,124
IdAircraftType_trend_91D_vs_182D_median,124
INT_NbOfSeats_x_Direction_rolling_year_mean,123
FlightNumberNormalized_lag30_win14_std,123
airlineOACICode_rolling_month_mean,123
SysTerminal_trend_30D_vs_91D_mean,123
Day,122
SysTerminal_rolling_month_std,122
Direction_lag_1day_mean,122
FlightNumberNormalized_trend_14D_vs_30D_min,122
Direction_lag91_win20_std,122
Direction_rolling_year_std,122
SysTerminal_rolling_quarter_mean,122
SysTerminal_lag_1day_max,121
IdAircraftType_trend_91D_vs_182D_std,121
INT_NbOfSeats_x_SysTerminal_lag30_win14_mean,121
IdAircraftType_lag7_win6_max,121
SysTerminal_trend_14D_vs_30D_mean,120
Direction_rolling_year_mean,120
SysTerminal_lag_1day_std,120
SysTerminal_lag_1day_mean,119
airlineOACICode_rolling_year_median,119
INT_NbOfSeats_x_MOM_IdAircraftType_rolling_week_mean_accel_rolling_month,119
SysTerminal_lag_1month_std,119
Direction_lag365_win28_std,119
Direction_rolling_year_max,119
FlightNumberNormalized_trend_182D_vs_365D_std,119
Direction_trend_182D_vs_365D_median,118
IdAircraftType_rolling_semester_max,117
Direction_lag_1week_median,117
MOM_IdAircraftType_rolling_quarter_std_season_ratio_rolling_year,117
Direction_rolling_quarter_mean,116
INT_NbOfSeats_x_MOM_SysTerminal_rolling_week_mean_accel_rolling_month,116
Direction_trend_91D_vs_182D_std,116
INT_NbOfSeats_x_MOM_airlineOACICode_rolling_quarter_mean_season_ratio_rolling_year,116
Direction_trend_30D_vs_91D_mean,116
IdAircraftType_trend_91D_vs_182D_mean,116
INT_NbOfSeats_x_SysTerminal_lag_1day_mean,115
SysTerminal_trend_91D_vs_182D_median,115
SysTerminal_trend_91D_vs_182D_mean,115
airlineOACICode_lag7_win6_min,115
INT_NbOfSeats_x_Direction_lag_1day_mean,115
SysTerminal_lag91_win20_std,114
SysTerminal_rolling_month_max,114
airlineOACICode_lag_1day_mean,114
IdAircraftType_rolling_year_median,114
MOM_IdAircraftType_rolling_week_max_accel_rolling_month,114
IdAircraftType_rolling_semester_median,114
Direction_lag30_win14_mean,113
SysTerminal_lag91_win20_mean,113
INT_NbOfSeats_x_airlineOACICode_lag_1day_mean,113
MOM_SysTerminal_lag30_win14_mean_short_vs_mid_hist_lag91_win20,113
SysTerminal_lag7_win6_mean,113
INT_NbOfSeats_x_Direction_trend_30D_vs_91D_mean,112
IdAircraftType_trend_182D_vs_365D_mean,112
INT_NbOfSeats_x_Direction_lag30_win14_mean,112
airlineOACICode_rolling_semester_mean,112
IdAircraftType_lag_1day_min,112
FlightNumberNormalized_trend_182D_vs_365D_mean,112
SysTerminal_rolling_year_std,111
Direction_lag182_win20_std,111
INT_NbOfSeats_x_SysTerminal_trend_14D_vs_30D_mean,111
INT_NbOfSeats_x_SysTerminal_trend_7D_vs_14D_mean,110
IdAircraftType_lag7_win6_mean,110
SysTerminal_lag_3months_min,109
IdAircraftType_lag_1month_mean,108
INT_NbOfSeats_x_IdAircraftType_trend_30D_vs_91D_mean,108
IdAircraftType_trend_182D_vs_365D_std,108
INT_NbOfSeats_x_airlineOACICode_trend_91D_vs_182D_mean,107
Direction_lag30_win14_max,107
airlineOACICode_rolling_quarter_max,107
IdAircraftType_rolling_year_max,107
INT_NbOfSeats_x_MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20,106
NbOfSeats,106
SysTerminal_lag30_win14_std,106
SysTerminal_rolling_semester_mean,105
airlineOACICode_lag_1week_std,105
airlineOACICode_trend_7D_vs_14D_min,105
MOM_IdAircraftType_rolling_quarter_mean_season_ratio_rolling_year,105
airlineOACICode_rolling_year_mean,105
airlineOACICode_rolling_month_min,104
SysTerminal_trend_91D_vs_182D_std,104
INT_NbOfSeats_x_SysTerminal_trend_182D_vs_365D_mean,103
IdAircraftType_rolling_semester_mean,103
IdAircraftType_rolling_week_min,103
Direction_lag_1day_min,102
SysTerminal_rolling_year_max,102
INT_NbOfSeats_x_Direction_rolling_month_mean,102
IdAircraftType_lag_1week_std,102
SysTerminal_lag_1month_max,101
SysTerminal_rolling_year_mean,101
SysTerminal_lag_1month_mean,101
airlineOACICode_rolling_year_max,101
FlightNumberNormalized_trend_30D_vs_91D_min,101
FlightNumberNormalized_trend_30D_vs_91D_max,100
IdAircraftType_lag30_win14_max,100
SysTerminal_rolling_month_mean,100
Direction_trend_182D_vs_365D_std,100
Direction_lag182_win20_median,100
SysTerminal_lag7_win6_median,99
SysTerminal_lag_3months_mean,99
airlineOACICode_rolling_month_max,99
SysTerminal_lag_6months_std,99
SysTerminal_lag_1month_min,99
INT_NbOfSeats_x_airlineOACICode_lag7_win6_mean,98
INT_NbOfSeats_x_MOM_IdAircraftType_lag30_win14_mean_short_vs_mid_hist_lag91_win20,98
Direction_trend_7D_vs_14D_max,98
SysTerminal_rolling_week_median,97
MOM_SysTerminal_rolling_week_std_accel_rolling_month,97
MOM_airlineOACICode_rolling_week_min_accel_rolling_month,97
MOM_IdAircraftType_rolling_quarter_median_season_ratio_rolling_year,97
Direction_rolling_month_max,97
MOM_airlineOACICode_rolling_week_max_accel_rolling_month,97
MOM_Direction_lag30_win14_mean_short_vs_mid_hist_lag91_win20,97
airlineOACICode_lag91_win20_std,96
airlineOACICode_rolling_week_min,96
INT_NbOfSeats_x_Direction_lag_1year_mean,96
INT_NbOfSeats_x_MOM_IdAircraftType_lag91_win20_mean_year_over_year_lag365_win28,95
Direction_lag_6months_max,95
SysTerminal_lag182_win20_std,95
SysTerminal_trend_14D_vs_30D_std,95
SysTerminal_lag91_win20_max,94
airlineOACICode_rolling_semester_max,93
SysTerminal_lag30_win14_mean,93
SysTerminal_lag_1year_std,93
airlineOACICode_trend_30D_vs_91D_max,93
Direction_lag_6months_mean,93
INT_NbOfSeats_x_airlineOACICode_trend_182D_vs_365D_mean,93
FlightNumberNormalized_lag91_win20_std,92
SysTerminal_trend_182D_vs_365D_std,92
INT_NbOfSeats_x_IdAircraftType_rolling_quarter_mean,92
INT_NbOfSeats_x_Direction_lag_3months_mean,91
SysTerminal_trend_182D_vs_365D_mean,91
FlightNumberNormalized_lag91_win20_min,90
INT_NbOfSeats_x_Direction_lag365_win28_mean,90
Direction_lag_3months_max,89
INT_NbOfSeats_x_IdAircraftType_trend_182D_vs_365D_mean,89
SysTerminal_lag7_win6_max,89
MOM_Direction_rolling_quarter_std_season_ratio_rolling_year,89
airlineOACICode_rolling_quarter_min,88
MOM_SysTerminal_lag30_win14_max_short_vs_mid_hist_lag91_win20,88
IdAircraftType_rolling_quarter_max,88
SysTerminal_lag_3months_std,88
MOM_SysTerminal_rolling_week_max_accel_rolling_month,87
INT_NbOfSeats_x_MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28,87
MOM_SysTerminal_rolling_quarter_mean_season_ratio_rolling_year,87
Direction_lag_1month_mean,87
INT_NbOfSeats_x_IdAircraftType_lag7_win6_mean,87
MOM_SysTerminal_lag30_win14_std_short_vs_mid_hist_lag91_win20,86
INT_NbOfSeats_x_Direction_rolling_quarter_mean,86
INT_NbOfSeats_x_MOM_airlineOACICode_lag91_win20_mean_year_over_year_lag365_win28,86
INT_NbOfSeats_x_SysTerminal_lag365_win28_mean,85
INT_NbOfSeats_x_Direction_lag_6months_mean,85
Direction_lag_6months_std,85
Direction_lag365_win28_mean,85
FlightNumberNormalized_trend_14D_vs_30D_max,84
INT_NbOfSeats_x_MOM_SysTerminal_rolling_quarter_mean_season_ratio_rolling_year,84
FlightNumberNormalized_lag182_win20_mean,83
INT_NbOfSeats_x_IdAircraftType_rolling_semester_mean,82
IdAircraftType_lag30_win14_std,82
INT_NbOfSeats_x_Direction_lag_1month_mean,81
MOM_Direction_lag30_win14_std_short_vs_mid_hist_lag91_win20,81
Direction_lag_1year_std,81
INT_NbOfSeats_x_Direction_trend_91D_vs_182D_mean,80
Direction_lag_1month_min,80
SysTerminal_lag_6months_max,79
Direction_lag91_win20_max,79
IdAircraftType_trend_7D_vs_14D_max,79
MOM_SysTerminal_lag30_win14_median_short_vs_mid_hist_lag91_win20,78
Direction_lag_3months_mean,78
MOM_FlightNumberNormalized_rolling_month_median_month_ratio_rolling_quarter,78
sin_Hour,78
Direction_lag_6months_min,77
Direction_lag_1month_max,77
airlineOACICode_lag30_win14_std,77
airlineOACICode_lag_1week_median,77
SysTerminal_rolling_quarter_max,77
SysTerminal_lag_6months_min,76
IdAircraftType_lag7_win6_min,76
SysTerminal_lag_1year_min,75
SysTerminal_trend_7D_vs_14D_max,75
SysTerminal_lag_6months_mean,75
Direction_trend_14D_vs_30D_max,74
INT_NbOfSeats_x_IdAircraftType_lag_1day_mean,73
INT_NbOfSeats_x_FlightNumberNormalized_lag182_win20_mean,72
MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month.1,72
airlineOACICode_lag182_win20_std,71
MOM_SysTerminal_rolling_quarter_median_season_ratio_rolling_year,71
IdAircraftType_trend_14D_vs_30D_max,70
IdAircraftType_trend_7D_vs_14D_min,70
MOM_SysTerminal_lag91_win20_std_year_over_year_lag365_win28,70
Direction_lag30_win14_median,70
Direction_lag_1year_mean,69
airlineOACICode_trend_14D_vs_30D_min,69
SysTerminal_lag30_win14_median,68
INT_NbOfSeats_x_Direction_rolling_semester_mean,68
INT_NbOfSeats_x_MOM_IdAircraftType_rolling_quarter_mean_season_ratio_rolling_year,68
INT_NbOfSeats_x_SysTerminal_lag_1year_mean,68
MOM_Direction_lag30_win14_median_short_vs_mid_hist_lag91_win20,67
FlightNumberNormalized_lag_1year_mean,67
FlightNumberNormalized_lag_1month_mean,66
airlineOACICode_trend_7D_vs_14D_max,66
Direction_lag_1month_std,66
airlineOACICode_lag30_win14_mean,66
Direction_lag_3months_min,66
INT_NbOfSeats_x_MOM_Direction_rolling_quarter_mean_season_ratio_rolling_year,66
SysTerminal_lag365_win28_mean,65
SysTerminal_lag182_win20_max,64
airlineOACICode_lag365_win28_median,64
MOM_SysTerminal_rolling_quarter_std_season_ratio_rolling_year,64
INT_NbOfSeats_x_FlightNumberNormalized_lag91_win20_mean,63
INT_NbOfSeats_x_FlightNumberNormalized_lag_1month_mean,63
cos_Minute,63
MOM_Direction_lag30_win14_max_short_vs_mid_hist_lag91_win20,63
FlightNumberNormalized_lag30_win14_median,63
MOM_IdAircraftType_lag30_win14_mean_short_vs_mid_hist_lag91_win20,63
SysTerminal_lag365_win28_std,63
SysTerminal_trend_182D_vs_365D_median,63
Direction_lag_1day_median,62
SysTerminal_lag_1year_mean,62
IdAircraftType_rolling_month_min,61
IdAircraftType_lag30_win14_median,61
IdAircraftType_lag_1day_std,61
SysTerminal_lag30_win14_max,61
SysTerminal_lag182_win20_median,61
MOM_FlightNumberNormalized_rolling_quarter_max_season_ratio_rolling_year,60
Direction_rolling_semester_max,59
airlineOACICode_lag91_win20_median,58
IdAircraftType_lag91_win20_std,58
MOM_Direction_lag91_win20_mean_year_over_year_lag365_win28,57
FlightNumberNormalized_trend_182D_vs_365D_min,57
IdAircraftType_lag_6months_mean,57
INT_NbOfSeats_x_IdAircraftType_lag_1month_mean,57
Direction_lag182_win20_max,57
FlightNumberNormalized_lag182_win20_min,57
IdAircraftType_lag182_win20_std,57
airlineOACICode_lag_1month_mean,57
IdAircraftType_lag182_win20_mean,57
INT_NbOfSeats_x_Direction_trend_182D_vs_365D_mean,56
MOM_FlightNumberNormalized_rolling_week_std_accel_rolling_month.1,55
MOM_Direction_rolling_quarter_max_season_ratio_rolling_year,55
SysTerminal_lag91_win20_median,54
airlineOACICode_lag_1day_min,54
Direction_lag_3months_std,54
IdAircraftType_lag_1month_min,54
airlineOACICode_lag182_win20_mean,54
MOM_IdAircraftType_rolling_quarter_max_season_ratio_rolling_year,53
IdAircraftType_lag_1week_median,53
MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter,52
FlightNumberNormalized_lag30_win14_mean,52
Direction_rolling_quarter_median,52
FlightNumberNormalized_lag30_win14_min,52
SysTerminal_lag_1year_max,52
airlineOACICode_lag30_win14_median,52
Direction_rolling_quarter_max,52
IdBagStatusDelivery,51
SysTerminal_rolling_week_min,51
SysTerminal_lag_3months_max,51
airlineOACICode_trend_14D_vs_30D_max,51
Direction_lag_1year_max,51
FlightNumberNormalized_lag182_win20_std,51
INT_NbOfSeats_x_airlineOACICode_lag30_win14_mean,51
IdAircraftType_lag91_win20_median,51
MOM_Direction_lag91_win20_std_year_over_year_lag365_win28,50
IdAircraftType_lag_3months_mean,50
airlineOACICode_lag91_win20_max,50
MOM_SysTerminal_rolling_quarter_max_season_ratio_rolling_year,49
FlightNumberNormalized_lag182_win20_median,49
SysTerminal_lag_1month_median,49
IdAircraftType_lag91_win20_mean,49
MOM_FlightNumberNormalized_rolling_quarter_min_season_ratio_rolling_year,49
cos_DayOfWeek,49
MOM_airlineOACICode_rolling_week_median_accel_rolling_month.1,48
IdAircraftType_lag_3months_std,48
FlightNumberNormalized_lag30_win14_max,48
IdAircraftType_trend_182D_vs_365D_max,48
IdAircraftType_trend_30D_vs_91D_max,48
SysTerminal_rolling_semester_max,48
MOM_FlightNumberNormalized_rolling_week_min_accel_rolling_month.1,48
